"Latin Word","First Element","Definition","Chapter",
"fortunatus, fortunata, fortunatum ","fortunatus","forunate, lucky, happy",13,
"forum, fori (n) ","forum","forum, marketplace",26,
"foveo, fovēre, fovi, fotum ","foveo","to comfort, nurture, cherish",35,
"frater, fratris (m) ","frater","brother",8,
"fructus, fructus (m) ","fructus","fruit; profit, benefit, enjoyment",20,
"fugio, fugere, fugi, fugiturum ","fugio","to flee, hurry away; escape; go into exile; avoid, shun",10,
"furtim ","furtim ","stealthily, secretly",30,
"gaudeo, gaudēre, gavisus sum ","gaudeo","to rejoice, be glad",23,
"geminus, -a, -um","geminus","twin",25,
"gens, gentis (f)* ","gens","clan, race, nation, people",21,
"genu, genus (n) ","genu","knee",20,
"genus, generis (n) ","genus","origin; kind, type, sort, class",18,
"gero, gerere, gessi, gestum ","gero","to carry; carry on, manage, conduct, wage",8,
"gloria, gloriae (f) ","gloria","glory",5,
"gracilis, gracile ","gracilis","slender, thin",27,
"Graecia, Graeciae (f) ","Graecia","Greece",19,
"Graecus, Graeca, Graecum ","Graecus","Greek",6,
"gratus, grata, gratum ","gratus","grateful; pleasing, agreeable",37,
"gravis, grave ","gravis","heavy, weighty; serious, important; severe, grievous",19,
"habeo, habēre, habui, habitum ","habeo","to have, hold, possess; consider, regard",3,
"hasta, hastae (f) ","hasta","spear",23,
"heri ","heri ","yesterday",5,
"heu ","heu ","ah! alas!",33,
"hīc ","hīc ","here",25,
"hic, haec, hoc ","hic","this; the latter; (at times) he, she, it",9,
"hodie ","hodie ","today",3,
"homo, hominis (m) ","homo","human being, man",7,
"honor, honoris (m) ","honor","honor, esteem; public office",30,
"hora, horae (f) ","hora","hour, time",10,
"hortor, hortāri, hortatus sum ","hortor","to encourage, urge",34,
"hostis, hostis (m)* ","hostis","an enemy (of the state); (plural = the enemy)",18,
"humanus, humana, humanum ","humanus","pertaining to man, human; humane, kind, refined, cultivated",4,
"humilis, humile ","humilis","humble, lowly",27,
"humus, humi (f) ","humus","ground, earth; soil",37,
"iaceo, iacēre, iacui ","iaceo","to lie; lie prostrate; lie dead",25,
"iacio, iacere, ieci, iactum ","iacio","to thow; hurl",15,
"iam ","iam ","now, already, soon",19,
"ianua, ianuae (f) ","ianua","door",35,
"ibi ","ibi ","there",6,
"idem, eadem, idem ","idem","the same",11,
"idoneus, idonea, idoneum ","idoneus","suitable, fit, appropriate",37,
"igitur ","igitur ","(post positive) therefore, consequently",5,
"ignis, ignis (m)* ","ignis","fire",22,
"ignosco, ignoscere, ignovi, ignotum (+dat) ","ignosco","to  grant pardon to, forgive",35,
"ille, illa, illud ","ille","that; the former; the famous; (at times) he, she, it",9,
"immortalis, immortale ","immortalis","not subject to death, immortal",19,
"immotus, immota, immotum ","immotus","unmoved; unchanged; unrelenting",37,
"imperator, imperatoris (m) ","imperator","general, commander-in-chief, emperor",24,
"imperium, imperii (n) ","imperium","power to command, supreme power, authority, command, control, imperium",24,
"impero, imperāre, imperavi, imperatum (+dat) ","impero","to give orders to, command",35,
"in (+ablative) ","in ","in, on",3,
"in (+acc) ","in ","into, on to, toward; against",9,
"incertus, incerta, incertum ","incertus","uncertain, unsure, doubtful",22,
"incipio, incipere, incepi, inceptum ","incipio","to begin",17,
"infirmus, infirma, infirmum ","infirmus","not strong, weak, feeble",38,
"ingenium, ingenii (n)  ","ingenium","nature, innate talent",29,
"ingens (gen: ingentis) ","ingens","huge",16,
"initium, initii (n) ","initium","beginning, commencement",33,
"iniuria, inuriae (f) ","iniuria","injury, injustice, wrong",39,
"inquit ","inquit ","he says, he said",22,
"insidiae, insidiarum (f) ","insidiae","ambush, plot, treachery",6,
"insula, insulae (f) ","insula","island",23,
"intellego, intellegere, intellexi, intellectum ","intellego","to understand",11,
"inter (+acc) ","inter ","between, among",15,
"interficio, interficere, interfeci, interfectum ","interficio","to kill, murder",37,
"invenio, invenire, inveni, inventum ","invenio","to find, come upon, discover",10,
"invideo, invidēre, invidi, invisum ","invideo","to be envious (+dat), to look at with envy, to envy, be jealous of",31,
"invidia, invidiae (f) ","invidia","jealousy",31,
"invito, invitāre, invitavi, invitatum ","invito","to entertain, invite; summon",26,
"ipse, ipsa, ipsum ","ipse","(intensive pronoun) myself, yourself, him/her/itself, etc; the very, the actual",13,
"ira, irae (f) ","ira","ire, anger",2,
"iratus, irata, iratum ","iratus","angry",35,
"is, ea, id ","is","he, she, it",11,
"iste, ista, istud ","iste","that of yours, that; (sometimes pejorative: that despicable, that wretched)",9,
"ita ","ita ","so thus",29,
"Italia, Italiae (f) ","Italia","Italy",15,
"itaque ","itaque ","and so, therefore",15,
"iter, itineris (n) ","iter","journey; route, road",37,
"iterum ","iterum ","again, a second time",21,
"iubeo, iubēre, iussi, iussum ","iubeo","to order, bid, command",21,
"iucundus, iucunda, iucundum ","iucundus","pleasant, delightful, agreeable, pleasing",16,
"iudex, iudicis (m) ","iudex","judge, juror",19,
"iudicium, iudicii (n) ","iudicium","judgement, decision, opinion; trial",19,
"iungo, iungere, iunxi, iunctum ","iungo","to join",13,
"ius, iuris (n) ","ius","right, justice, law",14,
"iustus, iusta, iustum ","iustus","just, right",40,
"iuvo, iuvāre, iuvi, iutum ","iuvo","to help",4,
"labor, laboris (m) ","labor","work, work, toil; a work, production",7,
"laboro, laborāre, laboravi, laboratum ","laboro","to labor; be in distress",21,
"lacrima, lacrimae (f) ","lacrima","tear",40,
"Latinus, Latina, Latinum ","Latinus","Latin",22,
"laudo, laudāre, laudavi, laudatum ","laudo","to praise",1,
"laus, laudis (f) ","laus","praise",8,
"lector, lectoris (m) & lectrix lectricis (f) ","lector","reader",36,
"lego, legere, legi, lectum ","lego","to read; pick out, choose, select",18,
"levis, leve ","levis","light, trivial",17,
"lex, legis (f) ","lex","law, statute",26,
"libellus, libelli (m) ","libellus","little book",17,
"libenter ","libenter ","with pleasure, gladly",38,
"liber, libera, liberum ","liber","free",5,
"liber, libri (m) ","liber","book",6,
"liberalis, liberale ","liberalis","of, relating to a free person; worthy of a free man, decent, liberal; generous",39,
"libero, liberāre, liberavi, liberatum ","libero","to free, set free, liberate",19,
"libertas, libertatis (f) ","libertas","freedom, liberty",8,
"libo, libāre, libavi, libatum ","libo","to pour a libation on; pour ritually; sip; touch gently",39,
"licet, licere, licuit (impersonal) ","licet","it is permitted, one may",37,
"limen, liminis (n) ","limen","threshold",26,
"lingua, linguae (f) ","lingua","language; tongue",25,
"littera, litterae (f) ","littera","a letter of the alphabet; (plural = letter, literature)",7,
"litus, litoris (n) ","litus","shore, coast",23,
"locus, loci (m) ","locus","place; passage in literature",9,
"longus, longa, longum ","longus","long",16,
"loquor, loqui, locutus sum ","loquor","to speak, say, tell",34,
"ludus, ludi (m) ","ludus","game, sport; school",18,
"luna, lunae (f) ","luna","moon",28,
"lux, lucis (f) ","lux","light",26,
"magister, magistri (m) or magistra, ","magister","ae (f) ",4,
"magnanimus, magnanima, magnanimum ","magnanimus","great-hearted, brave, magnanimous",23,
"magnus, magna, magnum ","magnus","great, large; important",2,
"maior, maius ","maior","greater; older",27,
"malo, malle, malui ","malo","to want (something) more, instead; prefer",32,
"malus, mala, malum ","malus","bad, wicked, evil",4,
"manus, manus (f) ","manus","hand; handwriting; band",20,
"mare, maris (n)* ","mare","sea",14,
"mater, matris (f) ","mater","mother",12,
"me ","me ","me, myself (accusative case)",1,
"medicus, medici (m) ","medicus","doctor, physician",12,
"mediocris, mediocre ","mediocris","ordinary, moderate, mediocre",31,
"medius, media, medium ","medius","middle, the middle of",22,
"memoria, memoriae (f) ","memoria","memory, recollection",15,
"mens, mentis (f)* ","mens","mind, thought, intention",16,
"mensa, mensae (f) ","mensa","table",26,
"merus, -a, -um","merus","pure, undiluted",33,
"meta, metae (f) ","meta","turning point, goal; limit, boundary",40,
"metus, metus (m) ","metus","fear",20,
"meus, mea, meum ","meus","my",2,
"miles,  militis (m) ","miles","soldier",23,
"mille ","mille ","thousand",15,
"minuo, minuere, minui, minutum ","minuo","to lessen, diminish",30,
"mirabilis, mirabile ","mirabilis","amazing, wondrous",38,
"miror, mirāri, miratus sum ","miror","to marvel at, admire, wonder",35,
"misceo, miscēre, miscui, mixtum ","misceo","to mix, stir up, disturb",18,
"miser, misera, miserum ","miser","sad, wretched, miserable, unfortunate",15,
"mitto, mittere, misi, missum ","mitto","to send, let go",11,
"modus, modi (m) ","modus","measure, bound, limit; manner, method, mode, way",22,
"moenia, moenium (n) ","moenia","city walls",29,
"molior, moliri, molitus sum ","molior","to work at, build, undertake, plan",34,
"mollio, mollire, mollivi, mollitum ","mollio","to soften; make calm, make less hostile",29,
"moneo, monēre, monui, monitum ","moneo","to warn, remind, advise",1,
"mons, montis (m)* ","mons","mountain",20,
"monumentum, monumenti (n) ","monumentum","monument",40,
"mora, morae (f) ","mora","delay",4,
"morbus, morbi (m) ","morbus","disease, sickness",9,
"morior, mori, mortuus sum ","morior","to die",34,
"mors, mortis (f)* ","mors","death",14,
"mortalis, mortale ","mortalis","mortal",18,
"mortuus, mortua, mortuum ","mortuus","dead",28,
"mos, moris (m) ","mos","habit,  custom, manner; (plural  = character, morals)",7,
"moveo, movēre, movi, motum ","moveo","to move; arouse, affect",18,
"mox ","mox ","soon",30,
"mulier, mulieris (f) ","mulier","woman",39,
"multus, multa, multum ","multus","many",2,
"mundus, mundi (m) ","mundus","world, universe",21,
"muto, mutāre, mutavi, mutatum","muto","to change,  alter; exchange",14,
"nam ","nam ","for",13,
"narro, narrāre, narravi, narratum ","narro","to tell, report, narrate",24,
"nascor, nasci, natus sum ","nascor","to be born; spring forth arise",34,
"nasus, nasi (m) ","nasus","nose",40,
"nata, natae (f) ","nata","daughter",29,
"natura, naturae (f) ","natura","nature",10,
"nauta, nautae (m) ","nauta","sailor",2,
"navigo, navigāre, navigavi, navigatum ","navigo","to sail, navigate",17,
"navis, navis (f)* ","navis","ship, boat",21,
"ne ","ne ","(+subjunct) not, in order that . . . not, that . . . not, in order not to",28,
"necesse ","necesse ","necessary, inevitable",39,
"neco, necāre, necavi, necatum ","neco","to kill, murder",7,
"neglego, neglegere, neglexi, neglectum ","neglego","to neglect, disregard",17,
"nego, negāre, negavi, negatum ","nego","to deny, to say that . . . not",25,
"nemo, nullius, nemini, neminem, nullo/nulla ","nemo","no one, nobody",11,
"nepos, nepotis (m) ","nepos","grandson, descendant",27,
"nec","nec","and not, nor (neque/nec . . . neque/nec ",11,
"neque/nec ","neque","and not, nor (neque/nec . . . neque/nec ",11,
"nescio, nescire, nescivi, nescitum ","nescio","not to know, to be ignorant",25,
"neuter, neutra neutrum ","neuter","neither, not either",9,
"nihil ","nihil ","nothing",1,
"nihil ","nihil ","nothing",4,
"nimium","nimium","too, too much, excessively",9,
"nimis or nimium ","nimis","too, too much, excessively",9,
"nisi ","nisi ","if . . . not, unless",19,
"noceo, nocēre, nocui, nocitum (+dat) ","noceo","to do harm to, harm, injure",35,
"nolo, nolle, nolui ","nolo","to not . . . wish, be unwilling",32,
"nomen, nominis (n) ","nomen","name",7,
"non ","non ","not",1,
"nonne ","nonne ","introduces question anticipating a “yes”",40,
"noster, nostra, nostrum ","noster","our",5,
"novus, nova, novum ","novus","new; strange",7,
"nox, noctis (f)* ","nox","night",26,
"nubes, nubis (f)* ","nubes","cloud",14,
"nubo, nubere, nupsi, nuptum ","nubo","to cover, veil; (+dat) to be married to, marry",35,
"nullus, nulla, nullum ","nullus","not any; no, none",9,
"num ","num ","1. introduces question anticipating a “no”. 2. introduces indirect questions and means “whether.”",40,
"numerus, numeri (m) ","numerus","number",3,
"numquam ","numquam ","never",8,
"nunc ","nunc ","now",6,
"nuntio, nuntiāre, nuntiavi, nuntiatum ","nuntio","to announce, report, relate",25,
"nuper ","nuper ","recently",12,
"oblecto, oblectāre, oblectavi, oblectatum ","oblecto","to please, amuse, delight; pass time pleasantly",36,
"occasio, occasionis (f) ","occasio","occasion, opportunity",28,
"occido, occidere, occidi, occasum ","occido","to fall down; die; set",31,
"oculus, oculi (m) ","oculus","eye",4,
"odi, odisse, osum ","odi","to hate",20,
"odium, odii (n) ","odium","hatred",38,
"offero, offere, obtuli, oblatum ","offero","to offer",31,
"officium, officii (n) ","officium","duty, service",4,
"olim ","olim ","at that time, once, formerly; in the future",13,
"omnino ","omnino ","wholly, entirely, altogether",40,
"omnis, omne ","omnis","every, all",16,
"opinor, opināri, opinatus sum ","opinor","to suppose",40,
"oportet, oportere, oportuit (impersonal) ","oportet","it is proper, right, necessary",39,
"opprimo, opprimere, oppressi, oppressum ","opprimo","to suppress, overwhelm, overpower, check",23,
"oppugno, oppugnāre, oppugnavi, oppugnatum ","oppugno","to fight against, attack, assault, assail",39,
"ops, opis (f) ","ops","help, aid",33,
"opus, operis (n) ","opus","work, task; deed, accomplishment",38,
"orator, oratoris (m) ","orator","orator; speaker",23,
"orno, ornāre, ornavi, ornatum ","orno","to equip, furnish, adorn",39,
